Size,Details,State of repair,Name_1,Name_2,Known_for_1,Known_for_2,Known_for_3,Known_for_4,Known_for_5,Drink_1,Drink_2,Food_Dessert,Food_Seafood,Food_Poor,Food_Common,Food_Good,Food_Best
2 Storey - half timbered,Low ceilinged,dilapidated[Cheap],Black,Anchorage,Cheap[Cheap],food[Food],Foreign,Baths,Halfling Chef,Locally produced,Ale [3],Desserts and Treats,Battered monkfish,Barley mash,Baked capon with sliced radishes,Bacon with beans and pears,Baked pigeons in gravy
2 Storey - stone[Expensive],Stone floored,weathered,Blessed,Arms,Overrated[Expensive],meals[Food],Old-fashioned,Stabling,Dwarf Brewer,Sweet,Beer [3],Apple fritter,Bean soup with brown bread,Boiled cabbage and onions,Beef kidney pie,Barley and marrow in beef broth,Beef brisket and carrots in brandy gravy
Long and squat with thatched roof[Cheap],Maze like layout,spruce and well kept[Expensive],Blue,Bucket,Expensive[Expensive],beveridges[Drink],Excellent,Baths,gambling,Musty,Hard cider [3],Baked apple on a stick,Boiled carrots and a crusty roll,Boiled dog and a dollop of lard,Buckwheat cakes with molasses,Black pudding with vinegar,Beef hash with seasoned turnips
Ramshackle cluster of small buildings[Cheap],Stuffed animal by the bar (dog/bear/hawk),,Broken,Castle,Affordable[Cheap],desserts[Dessert],Luxurious,Cutlery and china,underworld connections,Strong,White wine [9],Beets in heavy cream,Charred whale meat,Boiled kale and sausage,Capon and vegetables in a salty broth,Blood sausage and pickled cabbage,Braised partridge in a ginger sauce
Stately with red terracota roof[Expensive],Roaring fire - uncomfortably warm and a bit smoky,,Brown,Chalice,Good,Common room[Rooms],Patriotic,Privy,,Dry,Mead [4],Bowl figs and oatmeal with honey,Cod fillet with boiled turnips,Cheese and onions on bread,Entrails stuffed with barley,Boiled beef with apples and horseradish,Bread dumplings in spicy broth
Horse shoe shaped,Has a small stage for performers,,Cheerful,Club,Lousy,Private rooms[Rooms],Impressive,Sign above entrance,,Light,Red wine [9],Carrot pudding,Crabs with garlic and butter,Cheese curds in buttermilk,Goose neck with horseradish,Braised pork leg and sweet mustard,Breaded veal and parsley
Built around a courtyard,Cluttered with unmatched tables and chairs,,Cheery,Corner,,,Dwarven-influenced,Furnishing,,Dark,Fruit wine [9],Cream cheese strudel,Fillet of sole and beets,Chopped bacon and onions,Ham hock and mustard,Breaded pork cutlets and roasted nuts,Calf's head with a soup of lentils and onions
Solid with white washed stone walls,Smells strongly of (tobacco/roses/paint),,Cosy,Cup,,,Halfling-style,,,Weak,Brandy [5],Custard,Fish eggs and wine sauce,Cold sausage and a crusty roll,Hen legs basted with vinegar,Chicken livers with blue cheese dressing,Cow eyes with fish entrails
Hall like wooden building,Extensive herb garden out back,,Earnest,Dog,,,Elven-influenced,,,Imported,Vodka [5],Dried fruit and molasses,Fish soup with a hard biscuit,Curdled milk and vinegar,Herbed cucumber pottage,Diced pheasant in wine sauce,Fried duck with ginger
Big porch with rocking chair,Big oak and garden out front,,Eastern,Dragon,,,,,,,,Fresh pears and apples,Fried flatfish and cream,Hard biscuits and chicken gravy,Lamb chops with sliced apples,Dumplings in buttermilk soup,Goat brains in ale sauce
Deep but narrow wooden building,Balcony above bar,,Four,Dwelling,,,,,,,,Gingerbread,Haddock steak and herbs,Lentil soup,Liver and cheese pie,Fried onions with cheese,Goose liver and boiled eees
,hearth in centre,,Friendly,End,,,,,,,,Gooseberry tart,Hard bread with a smear of butter,Mashed chick peas and slices of toast,Mutton and sage pie,Hammerbone steak with blood gravy,Parboiled hares seasoned with sage
