Trait,Motivation,Ambition,Quirk,Description,Detail,Opinions,Driven by,Towards,Is,Ideal,Bond,Flaw,Personality,CairnBackground,CairnQuirk,CairnGoal,CairnVirtue,CairnVice
Arrogant,Authority,To avoid an obligation,A late bloomer of magical talent,Fat,braided hair,Dwarfs,Desire,Home,Devoted,Beauty,Dedicated to fulfilling a personal life goal,Forbidden love or susceptibility to romance,Always bored,Academic,Alert,Ascension,Cautious,Aloof
Bawdy,Change,To be immortalised,Addicted to illicit substances or acts,Thin,pony tail,Halflings,Need,God,Antagonistic,Charity,Protective of close family members,Enjoys decadent pleasures,Klutz,Cooper,Bald,Cleansing,Compassionate,Corrupt
Brash,Charity,To become someone else,Chronically unlucky,Stocky,pock-marked,Men,Duty,Family,Dependent,Greater good,Protective of colleagues or compatriots,Arrogance,Anxious,Blacksmith,Bright Eyes,Conservation,Connected,Craven
Calculating,Control,To convince someone to take the fall,Deeply in debt to the wrong people,Lanky,scarred,Women,Fear,Friend,Unaware,Life,"Loyal to a benefactor, patron, or employer",Envies another creature's possessions or station,Know-it-all,Farmer,Broad Face,Defense,Courageous,Cruel
Cavalier,Envy,To cure themselves or a loved one,Erring on the side of heresy,Young,tattooed,Red heads,Obligation,Enemy faction,Treacherous,Respect,Captivated by a romantic interest,Overpowering greed,Sarcastic jester,Soldier,Crooked Teeth,Domination,Disciplined,Cynical
Charming,Fame,To do the work of the Gods,Extremely religious,Old,glasses,Blondes,,Friendly faction,Protective,Self-sacrifice,Drawn to a special place,Prone to rage,Knows everybody,Gravedigger,Gaunt,Enrichment,Discreet,Deceptive
Cold,Freedom,To earn affection,Gifted with recent good luck,Weathered,bruised,Poor people,,Sibling,Authoritative,Domination,Protective of a sentimental keepsake,Has a powerful enemy,Arrogant,Guard,Good Posture,Expansion,Honest,Greedy
Confident,Glory,To earn recognition,Gossipy and overly informed,Hulking,curly hair,Rich people,,Magic,Dedicated,Greed,Protective of a valuable possession,Specific phobia,Logical,Weaver,Grimy,Freedom,Intelligent,Impulsive
Crude,Gluttony,To explore a mystery,Has a hidden talent,Short,nose ring,Wardens,,Riches,Coercive,Might,Out for revenge,Shameful or scandalous history,Blunt,Jailer,Harsh Voice,Healing,Judicious,Incompetent
Dishonest,Happiness,To gain a promotion,Has a terrible short-term memory,Wide,bald/long red hair,Witch Hunters,,Body,Aggressive,Pain,,Secret crime or misdeed,Love-struck,Laborer,Heavy Brow,Integration,Loyal,Inflexible
Fierce,Infamy,To help a family member or friend,Hides a minor mutation,Grizzled,shaved head,Priests,,,,Retribution,,Possession of forbidden lore,Bossy,Acolyte,Limps,Justice,Methodical,Manipulative
