I mutate,QF,sleeping,bright,Mine
Family mutate,Blitzen,fighting,geometric,Herzen's Tower
Beastmen Neighbours,Advika,gambling,web,The Devils Bowl
Rat Eruption,Dumpling,foraging,crystalline,The Old Hag
Mutant Messiah,Herzen,eating,fungal,The Signal Tower
Rat Empeoror,Lady Magritte,arguing,gaseous,Castle Wittgenstein
Child Sacrifice,Herr Goldfrick,traveling,volcanic,Sewers
Plague Apocalypse,Grunstein,negotiating,magnetic,Cave
Morrsleib Falls,Gideon,fleeing,tiered,Courtroom
Sigmar Returns,Rachel,building,inverted gravity,Prison
Twin tailed comet,Carrawaen,unconscious,garish,Ruined farm
Altdorf Ablaze,Aladda,at war,concentric,Reiker Marshes
Werewolf Pack,Erwhin,making,network,Raft
Feast of the dead,Beastman,nursing injury,glassy,Catle Reikguard
Carnival of Torture,Skaven,dying,slimy,Tunnel
Chaos horde,Mutant,hunting,misty,Temple
Blood storm,Farfordda,resting,explosive,Unterbaum
Demon's riding people,Gunther,exploring,frozen,Wittgendorf
Dragon Rampage,Road Warden,excavating,moldy,Inn
Devastating Famine,Witch Hunter,sacrificing,illusory,Coach
The dead crawling from graves,Jean Rousseaux,murdering,warp stone,Birthday Party
The emperor on a pyre,Obert,studying,pink fire,spiral staircase
Mutated giant stag,Family member,plotting,glowing green,graveyard
